source,kind,dataset,spearman,n_pairs,n_total,vocab
C8_dinov3l_bv_grid4x4_base_s2,model,wordsim353,0.10110262181816695,254,352,16206
C8_dinov3l_bv_grid4x4_base_s2,model,simlex999,-0.002953573739054494,821,999,16206
C8_dinov3l_bv_grid4x4_base_s2,model,rg65,0.18010194565228133,43,65,16206
C8_dinov3l_bv_grid4x4_base_s2,model,MTest-3000,0.25065483607521777,2707,3000,16206
C8_dinov3l_bv_grid4x4_base_s2,model,SimVerb-3500,0.012367583273062144,2486,3500,16206
C8_dinov3l_bv_grid4x4_rand_1000000_s0,model,wordsim353,0.24754579034537283,214,352,12219
C8_dinov3l_bv_grid4x4_rand_1000000_s0,model,simlex999,0.07856235537284796,732,999,12219
C8_dinov3l_bv_grid4x4_rand_1000000_s0,model,rg65,0.07022901090747684,27,65,12219
C8_dinov3l_bv_grid4x4_rand_1000000_s0,model,MTest-3000,0.17761398772591852,2537,3000,12219
C8_dinov3l_bv_grid4x4_rand_1000000_s0,model,SimVerb-3500,0.021744818385527453,2182,3500,12219
C8_dinov3l_bv_grid4x4_rand_1000000_s1,model,wordsim353,0.06763820252611194,210,352,12207
C8_dinov3l_bv_grid4x4_rand_1000000_s1,model,simlex999,0.05307508813471988,734,999,12207
C8_dinov3l_bv_grid4x4_rand_1000000_s1,model,rg65,0.08257417727170051,33,65,12207
C8_dinov3l_bv_grid4x4_rand_1000000_s1,model,MTest-3000,0.16988881287323923,2535,3000,12207
C8_dinov3l_bv_grid4x4_rand_1000000_s1,model,SimVerb-3500,-0.005431936372522985,2136,3500,12207
C8_dinov3l_bv_grid4x4_rand_1000000_s2,model,wordsim353,0.12197659408596428,221,352,12276
C8_dinov3l_bv_grid4x4_rand_1000000_s2,model,simlex999,0.10104604835718639,739,999,12276
C8_dinov3l_bv_grid4x4_rand_1000000_s2,model,rg65,0.1159452607162002,30,65,12276
C8_dinov3l_bv_grid4x4_rand_1000000_s2,model,MTest-3000,0.1796473381120061,2538,3000,12276
C8_dinov3l_bv_grid4x4_rand_1000000_s2,model,SimVerb-3500,0.08151815877624889,2149,3500,12276
C8_dinov3l_bv_grid4x4_rand_100000_s0,model,wordsim353,0.09329981945209209,79,352,3655
C8_dinov3l_bv_grid4x4_rand_100000_s0,model,simlex999,0.014323546516644681,364,999,3655
C8_dinov3l_bv_grid4x4_rand_100000_s0,model,rg65,,11,65,3655
C8_dinov3l_bv_grid4x4_rand_100000_s0,model,MTest-3000,0.02407702304880515,1343,3000,3655
C8_dinov3l_bv_grid4x4_rand_100000_s0,model,SimVerb-3500,0.0608378788132434,979,3500,3655
C8_dinov3l_bv_grid4x4_rand_100000_s1,model,wordsim353,-0.025597116716453823,86,352,3674
C8_dinov3l_bv_grid4x4_rand_100000_s1,model,simlex999,-0.06071541072811699,346,999,3674
C8_dinov3l_bv_grid4x4_rand_100000_s1,model,rg65,,10,65,3674
C8_dinov3l_bv_grid4x4_rand_100000_s1,model,MTest-3000,0.017482524874370256,1371,3000,3674
C8_dinov3l_bv_grid4x4_rand_100000_s1,model,SimVerb-3500,0.017751916777098545,999,3500,3674
C8_dinov3l_bv_grid4x4_rand_100000_s2,model,wordsim353,0.1325969409759152,73,352,3716
C8_dinov3l_bv_grid4x4_rand_100000_s2,model,simlex999,0.00776821995542705,370,999,3716
C8_dinov3l_bv_grid4x4_rand_100000_s2,model,rg65,,10,65,3716
C8_dinov3l_bv_grid4x4_rand_100000_s2,model,MTest-3000,-0.006839660036623521,1421,3000,3716
C8_dinov3l_bv_grid4x4_rand_100000_s2,model,SimVerb-3500,0.030349944881113245,1008,3500,3716
C8_dinov3l_bv_grid4x4_rand_100000_s3,model,wordsim353,-0.11417698520198559,81,352,3707
C8_dinov3l_bv_grid4x4_rand_100000_s3,model,simlex999,0.025946197164518056,362,999,3707
C8_dinov3l_bv_grid4x4_rand_100000_s3,model,rg65,,12,65,3707
C8_dinov3l_bv_grid4x4_rand_100000_s3,model,MTest-3000,0.017694527404922347,1382,3000,3707
C8_dinov3l_bv_grid4x4_rand_100000_s3,model,SimVerb-3500,0.02538865978998913,1038,3500,3707
C8_dinov3l_bv_grid4x4_rand_100000_s4,model,wordsim353,-0.030776778756566373,86,352,3676
C8_dinov3l_bv_grid4x4_rand_100000_s4,model,simlex999,0.07496856805494755,386,999,3676
C8_dinov3l_bv_grid4x4_rand_100000_s4,model,rg65,,13,65,3676
C8_dinov3l_bv_grid4x4_rand_100000_s4,model,MTest-3000,0.014053302222324971,1407,3000,3676
C8_dinov3l_bv_grid4x4_rand_100000_s4,model,SimVerb-3500,-0.01925147193585725,978,3500,3676
C8_dinov3l_bv_grid4x4_rand_100000_s5,model,wordsim353,-0.12264690066451049,82,352,3663
C8_dinov3l_bv_grid4x4_rand_100000_s5,model,simlex999,-0.02953562955047522,374,999,3663
C8_dinov3l_bv_grid4x4_rand_100000_s5,model,rg65,,13,65,3663
C8_dinov3l_bv_grid4x4_rand_100000_s5,model,MTest-3000,-0.0016030281407928575,1375,3000,3663
C8_dinov3l_bv_grid4x4_rand_100000_s5,model,SimVerb-3500,-0.03774770211279411,942,3500,3663
C8_dinov3l_bv_grid4x4_rand_100000_s6,model,wordsim353,-0.12547149544947156,85,352,3736
C8_dinov3l_bv_grid4x4_rand_100000_s6,model,simlex999,0.01230712461960356,389,999,3736
C8_dinov3l_bv_grid4x4_rand_100000_s6,model,rg65,,11,65,3736
C8_dinov3l_bv_grid4x4_rand_100000_s6,model,MTest-3000,0.010120522395667365,1410,3000,3736
C8_dinov3l_bv_grid4x4_rand_100000_s6,model,SimVerb-3500,0.01049538457525545,1039,3500,3736
C8_dinov3l_bv_grid4x4_rand_100000_s7,model,wordsim353,0.04727193861341657,77,352,3676
C8_dinov3l_bv_grid4x4_rand_100000_s7,model,simlex999,0.046648361640813894,373,999,3676
C8_dinov3l_bv_grid4x4_rand_100000_s7,model,rg65,,11,65,3676
C8_dinov3l_bv_grid4x4_rand_100000_s7,model,MTest-3000,0.05352976470276914,1387,3000,3676
C8_dinov3l_bv_grid4x4_rand_100000_s7,model,SimVerb-3500,-0.0009008404775444531,983,3500,3676
C8_dinov3l_bv_grid4x4_rand_10000_s0,model,wordsim353,,15,352,917
C8_dinov3l_bv_grid4x4_rand_10000_s0,model,simlex999,0.17738620351316714,67,999,917
C8_dinov3l_bv_grid4x4_rand_10000_s0,model,rg65,,0,65,917
C8_dinov3l_bv_grid4x4_rand_10000_s0,model,MTest-3000,0.012024395150344742,372,3000,917
C8_dinov3l_bv_grid4x4_rand_10000_s0,model,SimVerb-3500,-0.013291409118128263,269,3500,917
C8_dinov3l_bv_grid4x4_rand_10000_s1,model,wordsim353,,14,352,921
C8_dinov3l_bv_grid4x4_rand_10000_s1,model,simlex999,-0.03032910182201341,72,999,921
C8_dinov3l_bv_grid4x4_rand_10000_s1,model,rg65,,2,65,921
C8_dinov3l_bv_grid4x4_rand_10000_s1,model,MTest-3000,0.07815478786962217,397,3000,921
C8_dinov3l_bv_grid4x4_rand_10000_s1,model,SimVerb-3500,-0.02184180622232351,245,3500,921
C8_dinov3l_bv_grid4x4_rand_10000_s2,model,wordsim353,,17,352,942
C8_dinov3l_bv_grid4x4_rand_10000_s2,model,simlex999,-0.14534578623434416,78,999,942
C8_dinov3l_bv_grid4x4_rand_10000_s2,model,rg65,,1,65,942
C8_dinov3l_bv_grid4x4_rand_10000_s2,model,MTest-3000,0.09106775348538755,366,3000,942
C8_dinov3l_bv_grid4x4_rand_10000_s2,model,SimVerb-3500,0.10052371778850898,269,3500,942
C8_dinov3l_bv_grid4x4_rand_10000_s3,model,wordsim353,,19,352,935
C8_dinov3l_bv_grid4x4_rand_10000_s3,model,simlex999,-0.035377761312992466,79,999,935
C8_dinov3l_bv_grid4x4_rand_10000_s3,model,rg65,,2,65,935
C8_dinov3l_bv_grid4x4_rand_10000_s3,model,MTest-3000,0.07330036065265953,383,3000,935
C8_dinov3l_bv_grid4x4_rand_10000_s3,model,SimVerb-3500,0.013479426522573175,269,3500,935
C8_dinov3l_bv_grid4x4_rand_10000_s4,model,wordsim353,,15,352,927
C8_dinov3l_bv_grid4x4_rand_10000_s4,model,simlex999,0.16153195180905383,75,999,927
C8_dinov3l_bv_grid4x4_rand_10000_s4,model,rg65,,2,65,927
C8_dinov3l_bv_grid4x4_rand_10000_s4,model,MTest-3000,0.020499529501543545,352,3000,927
C8_dinov3l_bv_grid4x4_rand_10000_s4,model,SimVerb-3500,-0.04301627480443873,249,3500,927
C8_dinov3l_bv_grid4x4_rand_10000_s5,model,wordsim353,,12,352,914
C8_dinov3l_bv_grid4x4_rand_10000_s5,model,simlex999,0.2409171317050432,77,999,914
C8_dinov3l_bv_grid4x4_rand_10000_s5,model,rg65,,0,65,914
C8_dinov3l_bv_grid4x4_rand_10000_s5,model,MTest-3000,0.008804433600997589,340,3000,914
C8_dinov3l_bv_grid4x4_rand_10000_s5,model,SimVerb-3500,0.03094756691031591,270,3500,914
C8_dinov3l_bv_grid4x4_rand_10000_s6,model,wordsim353,,13,352,938
C8_dinov3l_bv_grid4x4_rand_10000_s6,model,simlex999,-0.003326058977549734,77,999,938
C8_dinov3l_bv_grid4x4_rand_10000_s6,model,rg65,,2,65,938
C8_dinov3l_bv_grid4x4_rand_10000_s6,model,MTest-3000,-0.06960712199549539,353,3000,938
C8_dinov3l_bv_grid4x4_rand_10000_s6,model,SimVerb-3500,0.024075758864513106,273,3500,938
C8_dinov3l_bv_grid4x4_rand_10000_s7,model,wordsim353,,19,352,932
C8_dinov3l_bv_grid4x4_rand_10000_s7,model,simlex999,0.1746409624769517,72,999,932
C8_dinov3l_bv_grid4x4_rand_10000_s7,model,rg65,,2,65,932
C8_dinov3l_bv_grid4x4_rand_10000_s7,model,MTest-3000,0.10061447912700228,384,3000,932
C8_dinov3l_bv_grid4x4_rand_10000_s7,model,SimVerb-3500,0.007019709494370408,286,3500,932
C8_dinov3l_bv_grid4x4_rand_300000_s0,model,wordsim353,0.019153658280897434,149,352,6740
C8_dinov3l_bv_grid4x4_rand_300000_s0,model,simlex999,0.02345974619387382,558,999,6740
C8_dinov3l_bv_grid4x4_rand_300000_s0,model,rg65,,17,65,6740
C8_dinov3l_bv_grid4x4_rand_300000_s0,model,MTest-3000,0.05352050638731124,2027,3000,6740
C8_dinov3l_bv_grid4x4_rand_300000_s0,model,SimVerb-3500,-0.014061301381475782,1575,3500,6740
C8_dinov3l_bv_grid4x4_rand_300000_s1,model,wordsim353,0.04341836234383263,140,352,6716
C8_dinov3l_bv_grid4x4_rand_300000_s1,model,simlex999,0.06811038296280846,560,999,6716
C8_dinov3l_bv_grid4x4_rand_300000_s1,model,rg65,,18,65,6716
C8_dinov3l_bv_grid4x4_rand_300000_s1,model,MTest-3000,0.023617691326202107,1994,3000,6716
C8_dinov3l_bv_grid4x4_rand_300000_s1,model,SimVerb-3500,-0.0036208218480294897,1541,3500,6716
C8_dinov3l_bv_grid4x4_rand_300000_s2,model,wordsim353,0.16618343224370796,141,352,6716
C8_dinov3l_bv_grid4x4_rand_300000_s2,model,simlex999,-0.04673108023398476,552,999,6716
C8_dinov3l_bv_grid4x4_rand_300000_s2,model,rg65,0.3091387958370259,20,65,6716
C8_dinov3l_bv_grid4x4_rand_300000_s2,model,MTest-3000,0.05949811855279549,1922,3000,6716
C8_dinov3l_bv_grid4x4_rand_300000_s2,model,SimVerb-3500,-0.014256651565832803,1485,3500,6716
C8_dinov3l_bv_grid4x4_rand_300000_s3,model,wordsim353,-0.08677344659358661,143,352,6718
C8_dinov3l_bv_grid4x4_rand_300000_s3,model,simlex999,-0.01926104145889626,538,999,6718
C8_dinov3l_bv_grid4x4_rand_300000_s3,model,rg65,0.1261143756710296,24,65,6718
C8_dinov3l_bv_grid4x4_rand_300000_s3,model,MTest-3000,0.05075738952645638,1915,3000,6718
C8_dinov3l_bv_grid4x4_rand_300000_s3,model,SimVerb-3500,0.0041907204177026,1554,3500,6718
C8_dinov3l_bv_grid4x4_rand_300000_s4,model,wordsim353,-0.11301824741323394,141,352,6730
C8_dinov3l_bv_grid4x4_rand_300000_s4,model,simlex999,0.02478084304550594,557,999,6730
C8_dinov3l_bv_grid4x4_rand_300000_s4,model,rg65,,18,65,6730
C8_dinov3l_bv_grid4x4_rand_300000_s4,model,MTest-3000,0.02014364029950478,1978,3000,6730
C8_dinov3l_bv_grid4x4_rand_300000_s4,model,SimVerb-3500,0.04013956273656765,1556,3500,6730
C8_dinov3l_bv_grid4x4_rand_30000_s0,model,wordsim353,-0.014464402386540159,37,352,1779
C8_dinov3l_bv_grid4x4_rand_30000_s0,model,simlex999,-0.03163884828967451,175,999,1779
C8_dinov3l_bv_grid4x4_rand_30000_s0,model,rg65,,2,65,1779
C8_dinov3l_bv_grid4x4_rand_30000_s0,model,MTest-3000,0.041420835899341445,792,3000,1779
C8_dinov3l_bv_grid4x4_rand_30000_s0,model,SimVerb-3500,0.026000860081858992,493,3500,1779
C8_dinov3l_bv_grid4x4_rand_30000_s1,model,wordsim353,0.04018851055380426,47,352,1866
C8_dinov3l_bv_grid4x4_rand_30000_s1,model,simlex999,-0.06164570643170611,195,999,1866
C8_dinov3l_bv_grid4x4_rand_30000_s1,model,rg65,,4,65,1866
C8_dinov3l_bv_grid4x4_rand_30000_s1,model,MTest-3000,0.04197704633372425,755,3000,1866
C8_dinov3l_bv_grid4x4_rand_30000_s1,model,SimVerb-3500,0.026309094722566966,475,3500,1866
C8_dinov3l_bv_grid4x4_rand_30000_s2,model,wordsim353,0.018666323996646975,36,352,1856
C8_dinov3l_bv_grid4x4_rand_30000_s2,model,simlex999,0.014373762632508369,191,999,1856
C8_dinov3l_bv_grid4x4_rand_30000_s2,model,rg65,,3,65,1856
C8_dinov3l_bv_grid4x4_rand_30000_s2,model,MTest-3000,0.026991451857967436,799,3000,1856
C8_dinov3l_bv_grid4x4_rand_30000_s2,model,SimVerb-3500,0.022279842060278495,523,3500,1856
C8_dinov3l_bv_grid4x4_rand_30000_s3,model,wordsim353,0.01696399296412962,38,352,1817
C8_dinov3l_bv_grid4x4_rand_30000_s3,model,simlex999,0.025860400082853372,182,999,1817
C8_dinov3l_bv_grid4x4_rand_30000_s3,model,rg65,,2,65,1817
C8_dinov3l_bv_grid4x4_rand_30000_s3,model,MTest-3000,0.018405158108227165,738,3000,1817
C8_dinov3l_bv_grid4x4_rand_30000_s3,model,SimVerb-3500,0.03763704346013151,506,3500,1817
C8_dinov3l_bv_grid4x4_rand_30000_s4,model,wordsim353,-0.004634099333344904,36,352,1848
C8_dinov3l_bv_grid4x4_rand_30000_s4,model,simlex999,0.03210859683289469,200,999,1848
C8_dinov3l_bv_grid4x4_rand_30000_s4,model,rg65,,3,65,1848
C8_dinov3l_bv_grid4x4_rand_30000_s4,model,MTest-3000,0.057628423272167696,738,3000,1848
C8_dinov3l_bv_grid4x4_rand_30000_s4,model,SimVerb-3500,-0.031013635573034118,549,3500,1848
C8_dinov3l_bv_grid4x4_rand_30000_s5,model,wordsim353,-0.06131541209053931,43,352,1852
C8_dinov3l_bv_grid4x4_rand_30000_s5,model,simlex999,-0.08458044784048507,191,999,1852
C8_dinov3l_bv_grid4x4_rand_30000_s5,model,rg65,,2,65,1852
C8_dinov3l_bv_grid4x4_rand_30000_s5,model,MTest-3000,0.01908229519531281,833,3000,1852
C8_dinov3l_bv_grid4x4_rand_30000_s5,model,SimVerb-3500,-0.043768327786013514,521,3500,1852
C8_dinov3l_bv_grid4x4_rand_30000_s6,model,wordsim353,-0.0304142936759338,47,352,1849
C8_dinov3l_bv_grid4x4_rand_30000_s6,model,simlex999,-0.0016945860388476416,177,999,1849
C8_dinov3l_bv_grid4x4_rand_30000_s6,model,rg65,,6,65,1849
C8_dinov3l_bv_grid4x4_rand_30000_s6,model,MTest-3000,-0.053956867655315634,818,3000,1849
C8_dinov3l_bv_grid4x4_rand_30000_s6,model,SimVerb-3500,0.02546633867708569,502,3500,1849
C8_dinov3l_bv_grid4x4_rand_30000_s7,model,wordsim353,-0.15828485923274016,40,352,1876
C8_dinov3l_bv_grid4x4_rand_30000_s7,model,simlex999,0.06088623105708431,191,999,1876
C8_dinov3l_bv_grid4x4_rand_30000_s7,model,rg65,,6,65,1876
C8_dinov3l_bv_grid4x4_rand_30000_s7,model,MTest-3000,-0.009638509420381459,770,3000,1876
C8_dinov3l_bv_grid4x4_rand_30000_s7,model,SimVerb-3500,0.05101825770260492,544,3500,1876
C8_dinov3l_bv_grid4x4_rand_3000_s0,model,wordsim353,,5,352,387
C8_dinov3l_bv_grid4x4_rand_3000_s0,model,simlex999,,19,999,387
C8_dinov3l_bv_grid4x4_rand_3000_s0,model,rg65,,0,65,387
C8_dinov3l_bv_grid4x4_rand_3000_s0,model,MTest-3000,-0.006507804466172533,74,3000,387
C8_dinov3l_bv_grid4x4_rand_3000_s0,model,SimVerb-3500,-0.09175606311986312,91,3500,387
C8_dinov3l_bv_grid4x4_rand_3000_s1,model,wordsim353,,1,352,385
C8_dinov3l_bv_grid4x4_rand_3000_s1,model,simlex999,,15,999,385
C8_dinov3l_bv_grid4x4_rand_3000_s1,model,rg65,,0,65,385
C8_dinov3l_bv_grid4x4_rand_3000_s1,model,MTest-3000,0.04772117280041666,70,3000,385
C8_dinov3l_bv_grid4x4_rand_3000_s1,model,SimVerb-3500,-0.09074616531426218,118,3500,385
C8_dinov3l_bv_grid4x4_rand_3000_s2,model,wordsim353,,3,352,388
C8_dinov3l_bv_grid4x4_rand_3000_s2,model,simlex999,,14,999,388
C8_dinov3l_bv_grid4x4_rand_3000_s2,model,rg65,,0,65,388
C8_dinov3l_bv_grid4x4_rand_3000_s2,model,MTest-3000,0.02306912541682387,74,3000,388
C8_dinov3l_bv_grid4x4_rand_3000_s2,model,SimVerb-3500,-0.08478962681656971,82,3500,388
C8_dinov3l_bv_grid4x4_rand_3000_s3,model,wordsim353,,1,352,381
C8_dinov3l_bv_grid4x4_rand_3000_s3,model,simlex999,,15,999,381
C8_dinov3l_bv_grid4x4_rand_3000_s3,model,rg65,,0,65,381
C8_dinov3l_bv_grid4x4_rand_3000_s3,model,MTest-3000,0.044520467189117244,60,3000,381
C8_dinov3l_bv_grid4x4_rand_3000_s3,model,SimVerb-3500,-0.18753774625039532,94,3500,381
C8_dinov3l_bv_grid4x4_rand_3000_s4,model,wordsim353,,0,352,383
C8_dinov3l_bv_grid4x4_rand_3000_s4,model,simlex999,,10,999,383
C8_dinov3l_bv_grid4x4_rand_3000_s4,model,rg65,,0,65,383
C8_dinov3l_bv_grid4x4_rand_3000_s4,model,MTest-3000,-0.11503080982827284,64,3000,383
C8_dinov3l_bv_grid4x4_rand_3000_s4,model,SimVerb-3500,0.07166408571199868,83,3500,383
C8_dinov3l_bv_grid4x4_rand_3000_s5,model,wordsim353,,4,352,379
C8_dinov3l_bv_grid4x4_rand_3000_s5,model,simlex999,,18,999,379
C8_dinov3l_bv_grid4x4_rand_3000_s5,model,rg65,,0,65,379
C8_dinov3l_bv_grid4x4_rand_3000_s5,model,MTest-3000,-0.15526724585427798,83,3000,379
C8_dinov3l_bv_grid4x4_rand_3000_s5,model,SimVerb-3500,0.19089110390892852,92,3500,379
C8_dinov3l_bv_grid4x4_rand_3000_s6,model,wordsim353,,5,352,386
C8_dinov3l_bv_grid4x4_rand_3000_s6,model,simlex999,,19,999,386
C8_dinov3l_bv_grid4x4_rand_3000_s6,model,rg65,,0,65,386
C8_dinov3l_bv_grid4x4_rand_3000_s6,model,MTest-3000,-0.03778066570790063,91,3000,386
C8_dinov3l_bv_grid4x4_rand_3000_s6,model,SimVerb-3500,-0.007000636910001659,92,3500,386
C8_dinov3l_bv_grid4x4_rand_3000_s7,model,wordsim353,,2,352,403
C8_dinov3l_bv_grid4x4_rand_3000_s7,model,simlex999,,16,999,403
C8_dinov3l_bv_grid4x4_rand_3000_s7,model,rg65,,0,65,403
C8_dinov3l_bv_grid4x4_rand_3000_s7,model,MTest-3000,-0.1477689339259741,68,3000,403
C8_dinov3l_bv_grid4x4_rand_3000_s7,model,SimVerb-3500,0.1996569459468078,107,3500,403
C8_dinov3l_grid4x4_base_s0,model,wordsim353,0.248762807012823,254,352,16206
C8_dinov3l_grid4x4_base_s0,model,simlex999,0.13093806094841348,821,999,16206
C8_dinov3l_grid4x4_base_s0,model,rg65,0.3118746480268016,43,65,16206
C8_dinov3l_grid4x4_base_s0,model,MTest-3000,0.3358367635023455,2707,3000,16206
C8_dinov3l_grid4x4_base_s0,model,SimVerb-3500,0.04760847426780232,2486,3500,16206
C8_dinov3l_grid4x4_base_s1,model,wordsim353,0.18792573568062712,254,352,16206
C8_dinov3l_grid4x4_base_s1,model,simlex999,0.038557784803399386,821,999,16206
C8_dinov3l_grid4x4_base_s1,model,rg65,0.33800264517384115,43,65,16206
C8_dinov3l_grid4x4_base_s1,model,MTest-3000,0.3535815476347681,2707,3000,16206
C8_dinov3l_grid4x4_base_s1,model,SimVerb-3500,0.03648160395746953,2486,3500,16206
C8_dinov3l_grid4x4_base_s2,model,wordsim353,0.25586914931840804,254,352,16206
C8_dinov3l_grid4x4_base_s2,model,simlex999,0.03468895949119743,821,999,16206
C8_dinov3l_grid4x4_base_s2,model,rg65,0.37961110305828855,43,65,16206
C8_dinov3l_grid4x4_base_s2,model,MTest-3000,0.3593508484277372,2707,3000,16206
C8_dinov3l_grid4x4_base_s2,model,SimVerb-3500,0.01301292846634866,2486,3500,16206
C8_dinov3l_grid4x4_rand_1000000_s0,model,wordsim353,0.11846605313953178,214,352,12219
C8_dinov3l_grid4x4_rand_1000000_s0,model,simlex999,0.11661587937204768,732,999,12219
C8_dinov3l_grid4x4_rand_1000000_s0,model,rg65,0.127633593736197,27,65,12219
C8_dinov3l_grid4x4_rand_1000000_s0,model,MTest-3000,0.2794030365119645,2537,3000,12219
C8_dinov3l_grid4x4_rand_1000000_s0,model,SimVerb-3500,0.02773141379380465,2182,3500,12219
C8_dinov3l_grid4x4_rand_1000000_s1,model,wordsim353,0.10708663970226838,210,352,12207
C8_dinov3l_grid4x4_rand_1000000_s1,model,simlex999,0.09321501448019175,734,999,12207
C8_dinov3l_grid4x4_rand_1000000_s1,model,rg65,0.3055578867462926,33,65,12207
C8_dinov3l_grid4x4_rand_1000000_s1,model,MTest-3000,0.28488595220804624,2535,3000,12207
C8_dinov3l_grid4x4_rand_1000000_s1,model,SimVerb-3500,0.05373790424154864,2136,3500,12207
C8_dinov3l_grid4x4_rand_1000000_s2,model,wordsim353,0.23844705318021625,221,352,12276
C8_dinov3l_grid4x4_rand_1000000_s2,model,simlex999,0.09359771371360294,739,999,12276
C8_dinov3l_grid4x4_rand_1000000_s2,model,rg65,0.31690220971184097,30,65,12276
C8_dinov3l_grid4x4_rand_1000000_s2,model,MTest-3000,0.2787342082600372,2538,3000,12276
C8_dinov3l_grid4x4_rand_1000000_s2,model,SimVerb-3500,0.059999157924815,2149,3500,12276
C8_dinov3l_grid4x4_rand_100000_s0,model,wordsim353,0.10409655002665254,79,352,3655
C8_dinov3l_grid4x4_rand_100000_s0,model,simlex999,0.013471317333389236,364,999,3655
C8_dinov3l_grid4x4_rand_100000_s0,model,rg65,,11,65,3655
C8_dinov3l_grid4x4_rand_100000_s0,model,MTest-3000,0.0515996222957639,1343,3000,3655
C8_dinov3l_grid4x4_rand_100000_s0,model,SimVerb-3500,0.06224407762009547,979,3500,3655
C8_dinov3l_grid4x4_rand_100000_s1,model,wordsim353,-0.02153063779835887,86,352,3674
C8_dinov3l_grid4x4_rand_100000_s1,model,simlex999,-0.061453895818688445,346,999,3674
C8_dinov3l_grid4x4_rand_100000_s1,model,rg65,,10,65,3674
C8_dinov3l_grid4x4_rand_100000_s1,model,MTest-3000,0.042169046360212924,1371,3000,3674
C8_dinov3l_grid4x4_rand_100000_s1,model,SimVerb-3500,0.017674954234044308,999,3500,3674
C8_dinov3l_grid4x4_rand_100000_s2,model,wordsim353,0.14330343045087568,73,352,3716
C8_dinov3l_grid4x4_rand_100000_s2,model,simlex999,0.01573225051176173,370,999,3716
C8_dinov3l_grid4x4_rand_100000_s2,model,rg65,,10,65,3716
C8_dinov3l_grid4x4_rand_100000_s2,model,MTest-3000,0.036439421705188754,1421,3000,3716
C8_dinov3l_grid4x4_rand_100000_s2,model,SimVerb-3500,0.03174218708508377,1008,3500,3716
C8_dinov3l_grid4x4_rand_100000_s3,model,wordsim353,-0.16098379003456698,81,352,3707
C8_dinov3l_grid4x4_rand_100000_s3,model,simlex999,0.026378783460471584,362,999,3707
C8_dinov3l_grid4x4_rand_100000_s3,model,rg65,,12,65,3707
C8_dinov3l_grid4x4_rand_100000_s3,model,MTest-3000,0.020023079197660647,1382,3000,3707
C8_dinov3l_grid4x4_rand_100000_s3,model,SimVerb-3500,0.01999941520201674,1038,3500,3707
C8_dinov3l_grid4x4_rand_100000_s4,model,wordsim353,-0.06786553329122684,86,352,3676
C8_dinov3l_grid4x4_rand_100000_s4,model,simlex999,0.08174177158458028,386,999,3676
C8_dinov3l_grid4x4_rand_100000_s4,model,rg65,,13,65,3676
C8_dinov3l_grid4x4_rand_100000_s4,model,MTest-3000,0.0233090964939016,1407,3000,3676
C8_dinov3l_grid4x4_rand_100000_s4,model,SimVerb-3500,-0.01895862256054175,978,3500,3676
C8_dinov3l_grid4x4_rand_100000_s5,model,wordsim353,-0.1319422905444796,82,352,3663
C8_dinov3l_grid4x4_rand_100000_s5,model,simlex999,-0.03745514542592681,374,999,3663
C8_dinov3l_grid4x4_rand_100000_s5,model,rg65,,13,65,3663
C8_dinov3l_grid4x4_rand_100000_s5,model,MTest-3000,0.016773086165131748,1375,3000,3663
C8_dinov3l_grid4x4_rand_100000_s5,model,SimVerb-3500,-0.03857060580096489,942,3500,3663
C8_dinov3l_grid4x4_rand_100000_s6,model,wordsim353,-0.06752399015232464,85,352,3736
C8_dinov3l_grid4x4_rand_100000_s6,model,simlex999,0.0014193314604041875,389,999,3736
C8_dinov3l_grid4x4_rand_100000_s6,model,rg65,,11,65,3736
C8_dinov3l_grid4x4_rand_100000_s6,model,MTest-3000,0.047004753888118464,1410,3000,3736
C8_dinov3l_grid4x4_rand_100000_s6,model,SimVerb-3500,0.01122705081684315,1039,3500,3736
C8_dinov3l_grid4x4_rand_100000_s7,model,wordsim353,0.08117469992709882,77,352,3676
C8_dinov3l_grid4x4_rand_100000_s7,model,simlex999,0.05340710860380769,373,999,3676
C8_dinov3l_grid4x4_rand_100000_s7,model,rg65,,11,65,3676
C8_dinov3l_grid4x4_rand_100000_s7,model,MTest-3000,0.07560099676038731,1387,3000,3676
C8_dinov3l_grid4x4_rand_100000_s7,model,SimVerb-3500,-0.00639812625376233,983,3500,3676
C8_dinov3l_grid4x4_rand_10000_s0,model,wordsim353,,15,352,917
C8_dinov3l_grid4x4_rand_10000_s0,model,simlex999,0.16633074657242078,67,999,917
C8_dinov3l_grid4x4_rand_10000_s0,model,rg65,,0,65,917
C8_dinov3l_grid4x4_rand_10000_s0,model,MTest-3000,0.015793212796332837,372,3000,917
C8_dinov3l_grid4x4_rand_10000_s0,model,SimVerb-3500,-0.014782040203598697,269,3500,917
C8_dinov3l_grid4x4_rand_10000_s1,model,wordsim353,,14,352,921
C8_dinov3l_grid4x4_rand_10000_s1,model,simlex999,-0.017496321729772318,72,999,921
C8_dinov3l_grid4x4_rand_10000_s1,model,rg65,,2,65,921
C8_dinov3l_grid4x4_rand_10000_s1,model,MTest-3000,0.07720203987836063,397,3000,921
C8_dinov3l_grid4x4_rand_10000_s1,model,SimVerb-3500,-0.025800539213378312,245,3500,921
C8_dinov3l_grid4x4_rand_10000_s2,model,wordsim353,,17,352,942
C8_dinov3l_grid4x4_rand_10000_s2,model,simlex999,-0.14261415047113016,78,999,942
